Height,Width,Length,Colour Scheme,Maker Elf ID,Checker Elf ID,Defective
5.61,1.89,8.18,"Purple",10,8,False
9.43,3.13,13.55,"Purple",8,10,False
4.67,4.13,13.17,"Green",13,9,True
6.98,4.52,12.67,"Red",4,13,True
3.05,1.68,8.92,"Pink",7,15,True
2.47,3.41,9.09,"Red",6,10,True
6.3,3.53,11.93,"Green",4,4,False
5.51,3.91,8.51,"Purple",10,10,False
6.79,2.17,4.49,"Purple",14,1,True
4.2,3.98,11.22,"Green",12,10,False
7.37,2.38,13.8,"Purple",2,7,False
4.89,2.52,15.68,"Pink",4,15,False
9.57,1.41,10.71,"Purple",13,8,False
2.86,1.13,9.52,"Purple",2,5,False
7.48,3.65,8.86,"Blue",12,14,False
8.98,3.49,11.25,"Yellow",2,13,False
7.09,3.97,9.06,"Orange",8,3,True
5.09,4.82,13.2,"Yellow",7,10,True
6.08,3.32,11.91,"Purple",3,4,False
6.46,1.32,8.55,"Blue",2,7,False
9.2,1.08,13.74,"Purple",4,12,False
10.23,5.76,10.36,"Red",17,1,True
8.89,1.22,12.66,"Red",2,12,False
9.26,2.42,15.43,"Green",13,9,False
2.75,2.1,15.94,"Purple",9,15,False
7.35,3.47,12.67,"Green",10,13,False
8.91,1.12,8.14,"Blue",2,9,False
4.47,1.36,14.77,"Yellow",13,2,False
2.96,3.16,9.48,"Orange",2,11,False
5.93,3.33,14.25,"Pink",7,15,False
7.16,3.87,8.92,"Orange",10,15,False
8.66,3.65,14.39,"Green",13,14,False
7.75,2.39,8.23,"Purple",8,2,False
2.1,3.17,9.22,"Orange",13,5,False
4.41,1.46,9.03,"Blue",15,2,False
9.35,5.32,8.26,"Green",14,5,True
5.26,1.99,11.68,"Red",8,12,False
4.1,3.84,9.03,"Purple",1,9,False
9.6,3.62,14.84,"Yellow",2,1,True
6.84,3.89,15.66,"Orange",4,6,False
3.25,2.57,13.88,"Blue",12,6,False
9.82,1.39,15.08,"Pink",4,9,False
9.41,3.8,15.35,"Pink",4,13,False
8.86,3.81,9.8,"Orange",9,13,False
9.37,3.9,13.34,"Pink",15,14,False
6.38,1.45,9.66,"Pink",14,10,False
5.63,3.72,8.75,"Purple",12,3,False
5.67,3.69,9.12,"Yellow",2,11,False
8.31,1.13,14.1,"Yellow",11,8,False
3.47,3.64,15.79,"Pink",5,11,False
6.34,2.95,12.65,"Blue",7,1,False
2.09,3.99,8.01,"Pink",4,5,False
7.73,2.32,9.43,"Blue",9,4,False
8.94,2.82,8.92,"Pink",14,3,False
7.89,1.15,15.09,"Blue",8,9,False
8.12,1.75,12.95,"Purple",5,13,True
9.87,3.79,15.36,"Green",4,8,False
9.43,2.61,6.86,"Yellow",5,5,True
4.81,2.07,12.32,"Blue",12,11,False
9.62,4.85,9.83,"Purple",14,13,True
3.62,3.18,11.02,"Red",1,6,False
8.53,2.7,11.19,"Red",3,9,False
4.07,3.28,12.18,"Orange",5,14,False
7.87,3.52,15.22,"Purple",7,13,False
7.73,1.42,14.51,"Purple",7,11,False
7.22,3.94,13.91,"Orange",9,5,False
2.81,2.19,14.99,"Purple",12,5,False
6.5,1.93,10.42,"Orange",3,1,False
4.56,3.33,10.59,"Orange",9,3,False
4.93,1.79,9.41,"Yellow",12,8,True
6.95,1.23,8.62,"Pink",8,4,False
5.16,2.44,12.06,"Purple",10,8,False
8.78,3.52,9.5,"Blue",1,5,False
9.92,1.42,12.14,"Yellow",5,6,False
3.48,2.29,9.55,"Red",15,4,False
9.06,1.34,10.6,"Green",10,12,True
